Round,Round,Pk,Player,College,Yrs,Totals_G,Totals_MP,Totals_PTS,Totals_TRB,Totals_AST,Shooting_FG%,Shooting_3P%,Shooting_FT%,Per Game_MP,Per Game_PTS,Per Game_TRB,Per Game_AST,Advanced_WS,Advanced_WS/48,Advanced_BPM,Advanced_VORP,Year,Group
3,3,57.0,Joe Binion,North Carolina A&T,1,11,51,14,18,1,.400,0,.600,4.6,1.3,1.6,0.1,0.1,.092,-1.7,0.0,1984,6
3,3,58.0,Bobby Parks,Memphis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1984,6
3,3,59.0,Murray Jarman,Clemson,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1984,6
3,3,60.0,Leonard Mitchell,LSU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1984,6
10,10,1.0,Patrick Ewing,Georgetown,17,1183,40594,24815,11607,2215,.504,.152,.740,34.3,21.0,9.8,1.9,126.4,.150,2.9,50.1,1985,1
10,10,2.0,Wayman Tisdale,Oklahoma,12,840,23868,12878,5117,1077,.505,.000,.760,28.4,15.3,6.1,1.3,45.7,.092,-1.6,2.3,1985,1
10,10,3.0,Benoit Benjamin,Creighton,15,807,21911,9223,6063,1070,.497,.048,.721,27.2,11.4,7.5,1.3,32.7,.072,-1.1,4.8,1985,1
10,10,4.0,Xavier McDaniel,Wichita State,12,870,25201,13606,5313,1775,.485,.261,.718,29.0,15.6,6.1,2.0,47.8,.091,-0.5,9.6,1985,1
10,10,5.0,Jon Koncak,SMU,11,784,16409,3520,3856,785,.470,.226,.597,20.9,4.5,4.9,1.0,29.2,.085,-1.2,3.3,1985,1
10,10,6.0,Joe Kleine,Arkansas,15,965,14712,4666,3991,622,.453,.271,.794,15.2,4.8,4.1,0.6,19.1,.062,-3.9,-7.0,1985,1
10,10,7.0,Chris Mullin,St. John's,16,986,32163,17911,4034,3450,.509,.384,.865,32.6,18.2,4.1,3.5,93.1,.139,3.1,41.6,1985,1
10,10,8.0,Detlef Schrempf,Washington,16,1136,33597,15761,7023,3833,.491,.384,.803,29.6,13.9,6.2,3.4,109.5,.156,1.8,32.4,1985,1
