fips,year,month_name,unemployment_rate,employment_rate
12,2020,December,6.0,94.0
12,2021,January,5.9,94.1
12,2021,February,5.4,94.6
12,2021,March,5.2,94.8
12,2021,April,5.0,95.0
12,2021,May,4.8,95.2
12,2021,June,5.3,94.7
12,2021,July,5.0,95.0
12,2021,August,4.7,95.3
12,2021,September,4.3,95.7
12,2021,October,3.9,96.1
12,2021,November,3.7,96.3
12,2021,December,3.2,96.8
12,2022,January,3.7,96.3
12,2022,February,3.3,96.7
12,2022,March,3.0,97.0
12,2022,April,2.8,97.2
12,2022,May,2.8,97.2
12,2022,June,3.2,96.8
12,2022,July,3.1,96.9
12,2022,August,3.1,96.9
12,2022,September,2.9,97.1
12,2022,October,3.0,97.0
12,2022,November,2.9,97.1
12,2022,December,2.5,97.5
13,2020,January,3.8,96.2
13,2020,February,3.5,96.5
13,2020,March,4.2,95.8
13,2020,April,11.9,88.1
13,2020,May,10.0,90.0
13,2020,June,8.7,91.3
13,2020,July,8.0,92.0
13,2020,August,6.9,93.1
13,2020,September,6.4,93.6
13,2020,October,5.4,94.6
13,2020,November,5.0,95.0
13,2020,December,5.1,94.9
13,2021,January,5.1,94.9
13,2021,February,4.6,95.4
13,2021,March,4.4,95.6
13,2021,April,4.0,96.0
13,2021,May,4.1,95.9
13,2021,June,4.5,95.5
13,2021,July,3.9,96.1
13,2021,August,4.0,96.0
13,2021,September,3.3,96.7
13,2021,October,3.3,96.7
13,2021,November,3.0,97.0
13,2021,December,2.8,97.2
13,2022,January,3.5,96.5
13,2022,February,3.2,96.8
13,2022,March,3.1,96.9
13,2022,April,2.6,97.4
13,2022,May,3.0,97.0
13,2022,June,3.5,96.5
13,2022,July,3.2,96.8
13,2022,August,3.6,96.4
13,2022,September,3.0,97.0
13,2022,October,3.3,96.7
13,2022,November,3.1,96.9
13,2022,December,3.0,97.0
15,2020,January,2.3,97.7
15,2020,February,2.0,98.0
15,2020,March,2.1,97.9
15,2020,April,22.1,77.9
15,2020,May,20.9,79.1
15,2020,June,17.8,82.2
15,2020,July,15.7,84.3
15,2020,August,12.9,87.1
15,2020,September,13.8,86.2
15,2020,October,11.3,88.7
15,2020,November,10.5,89.5
15,2020,December,10.0,90.0
15,2021,January,9.5,90.5
15,2021,February,8.9,91.1
15,2021,March,8.2,91.8
15,2021,April,7.6,92.4
15,2021,May,6.6,93.4
15,2021,June,7.0,93.0
15,2021,July,5.5,94.5
15,2021,August,4.8,95.2
15,2021,September,4.2,95.8
15,2021,October,3.4,96.6
15,2021,November,3.1,96.9
15,2021,December,2.8,97.2
